Name,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,lon,lat,magnitude
Waverly Wind Farm,Commercial Scale Wind,Waverly Light & Power,GE Energy,Waverly Light & Power,Waverly IA,1.5,2,1999,Zond,In Service,"42.7241°, -92.4786°",-92.4786,42.7241,4.569048269197644,-2.6417219275098534
Waymart Wind Farm,Commercial Scale Wind,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,Wayne County PA,64.5,43,2003,GE Energy,In Service,"41.555385°, -75.451205°",-75.451205,41.555385,2.568267860366091,0.14850488830573658
We Energy Wind Farm,Commercial Scale Wind,,,WE Energies,South of Fond du Lac WI,1.32,2,1999,Vestas,In Service,"43.657512°, -88.439004°",-88.439004,43.657512,3.6942388117648504,-2.1205005857255306
Weatherford Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,American Electric Power,Weatherford OK,147,98,2005,GE Energy,In Service,"35.559414°, -98.742992°",-98.742992,35.559414,5.143889445610592,-1.5319054387422093
Wege Wind Farm,Commercial Scale Wind,John Deere Wind,Steelcase and John Deere Wind,Southwestern Public Service,Panhandle TX,10,8,2008,Suzlon Energy Company,In Service,"35.346439°, -101.381375°",-101.381375,35.346439,7.28402375204523,-1.802122813965326
Wellington Middle School Wind Project,Community Wind,,,,CO,0,1,2011,SkyStream,In Service,"40.70823°, -105.00056°",-105.00056,40.70823,0.8850988639013343,-1.0109994083747407
Wessington Springs Wind Farm,Commercial Scale Wind,Babcock & Brown,Babcock & Brown,Heartland Consumers Power District,Southwest of Wessington Springs SD,51,34,2009,GE Energy,In Service,"43.947387°, -98.657427°",-98.657427,43.947387,1.9362075909377796,-1.7002761992590143
Wessington Springs Wind Project,Community Wind,,,,SD,0,1,,SkyStream,,"44.081932°, -98.559685°",-98.559685,44.081932,2.040245072899324,-1.398395562640204
West Central School Corp,Community Wind,West Central School Corp,Performance Services,Net-metered,Francesville IN,0.9,1,2012,PowerWind,In Service,"41.02886641°, -86.89028978°",-86.89028978,41.02886641,1.2303251276102176,-0.33974347735137467
West Holt Wind Project,Community Wind,,,,NE,0,1,,SkyStream,,"42.540997°, -98.978706°",-98.978706,42.540997,2.1700000762939453,-1.5707963267948966
West Stevens Wind,Commercial Scale Wind,,West Stevens Wind,,3 miles northwest of Chokio MN,20,13,,,Under Construction,"45.606472°, -96.238174°",-96.238174,45.606472,3.390766989843771,-3.0618802591319763
West Winds Wind Farm,Commercial Scale Wind,Caithness,SeaWest,Southern California Edison/PacifiCorp,San Gorgonio CA,43.4,62,1999,NEG Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Western Illinois University Wind Project,Community Wind,Western Illinois University,,,IL,0,1,2012,SkyStream,In Service,"40.484935°, -90.691452°",-90.691452,40.484935,2.5528220592239967,2.7938256767081757
Westridge Wind Farm,Commercial Scale Wind,Edison Mission Group,Farmers' cooperatives with Dan Juhl,Xcel Energy/Great River Energy,Various MN,17.1,18,2003,Suzlon Energy Company,In Service,"44.115854°, -96.115186°",-96.115186,44.115854,1.8417654077489445,-1.7841649668381119
Westwind Trust Wind Farm,Commercial Scale Wind,,,Southern California Edison Co,San Gorgonio CA,15.7,167,,Various,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Westwind-PacifiCorp Wind Farm,Commercial Scale Wind,PacifiCorp,SeaWest,Southern California Edison/PacifiCorp,San Gorgonio CA,1.5,2,1999,NEG Micon,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Wethersfield Wind Power Wind Farm,Commercial Scale Wind,Enel North America,Western NY Wind Power Partners,Niagara Mohawk,WY County NY,6.6,10,2000,Vestas,In Service,"42.667741°, -78.219803°",-78.219803,42.667741,2.086144693321339,-0.07677189236545169
Wheatfield Wind Farm,Commercial Scale Wind,Horizon,Horizon,Snohomish County Public Utility District,Gilliam County west of Arlington OR,96.6,46,2009,Suzlon Energy Company,In Service,"45.700074°, -120.271289°",-120.271289,45.700074,2.5134836373131404,-0.10362745622299267
Whirlwind Wind Farm,Commercial Scale Wind,,RES America,Austin Energy,East of Floydada TX,59.8,26,2007,Siemens,In Service,"34.110142°, -101.098967°",-101.098967,34.110142,7.316153460135679,-2.1330177716680208
Whispering Willow I Wind Farm,Commercial Scale Wind,Alliant (IP&L),Alliant (IP&L),Alliant (IP&L),Franklin County IA,199.65,121,2009,Vestas,In Service,"42.653045°, -93.31162°",-93.31162,42.653045,3.2097507579988895,-2.4201249553972572
White Creek Wind Power Project,Commercial Scale Wind,Last Mile Electric Cooperative,Last Mile Electric Cooperative,Last Mile Electric Cooperative,Klickitat County,204.7,89,2007,Siemens,In Service,"45.853153°, -120.289578°",-120.289578,45.853153,2.4956162306710103,-0.5246132393681429
White Oak Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,Invenergy,TVA,Northwest of Bloomington near Carlock IL,150,100,2011,GE Energy,In Service,"40.593859°, -89.062607°",-89.062607,40.593859,1.0778683180276212,-3.0206898995478424
White Tail,Commercial Scale Wind,Exelon Wind,MAP Royalty,Austin Energy,Oilton TX,91,57,2012,GE Energy,In Service,"27.490513°, -98.985926°",-98.985926,27.490513,2.3612284689144247,2.8627112685677316
Whitewater Hill Wind Farm I,Commercial Scale Wind,,Cannon Power Corp.,L.A. Department of Water Resources,San Gorgonio CA,61.5,41,2002,GE Energy,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Whitewater Hill Wind Farm II,Community Wind,Cannon Power Corp.,Cannon Power Corp.,Los Angeles Department of Water Resources/SDG&E,San Gorgonio CA,4.5,3,2003,GE Energy,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
Wild Horse II Wind Farm,Commercial Scale Wind,Puget Sound Energy,Puget Sound Energy,Puget Sound Energy,Kittitas County,44,22,2009,Vestas,In Service,"47.000782°, -120.190609°",-120.190609,47.000782,3.4078731856996667,-1.1150225634276585
Wild Horse Wind Power Project,Commercial Scale Wind,Puget Sound Energy,Horizon Wind Energy,Puget Sound Energy,Kittitas County,228.6,127,2006,Vestas,In Service,"47.000782°, -120.190609°",-120.190609,47.000782,3.4078731856996667,-1.1150225634276585
Wildcat 1 Wind Project,Commercial Scale Wind,E.ON Climate & Renewables North America,E.ON Climate & Renewables North America,Indiana Michigan Power,North of Elwood IN,200,125,2012,GE Energy,In Service,"40.371025°, -85.823836°",-85.823836,40.371025,2.3063824665928085,-2.5163028805372663
Wildcat Ridge Wind Farm,Offshore Wind,Midwest Wind Energy,Midwest Wind Energy,,Banner County NE,NaN,100,,Undetermined,Proposed,"41.60734°, -103.679523°",-103.679523,41.60734,1.2520783012001278,-2.3279534069042866
Wildcat Wind Project,Commercial Scale Wind,Exelon Wind,Kairos Energy,,Lovington NM,27.3,13,2012,Suzlon Energy Company,In Service,"32.95063128°, -103.2771492°",-103.2771492,32.95063128,11.463786236330654,-2.0992475502201273
Wildorado Wind Farm,Commercial Scale Wind,Edison Mission Group,Cielo Wind Power,Xcel Energy,Oldham TX,161,70,2007,Siemens,In Service,"35.302005°, -102.314005°",-102.314005,35.302005,7.672372680010394,-1.9696981047299664
Williams Elementary and Middle School Wind Project,Community Wind,,,,AZ,0,1,2012,SkyStream,In Service,"35.253234°, -112.197586°",-112.197586,35.253234,3.2731941728055,-2.9789552813187115
Williams Stone Wind Turbine,Community Wind,Williams Stone,Sustainable Energy Developments,Williams Stone,Otis MA,0.6,1,2009,Vestas,In Service,"42.232526°, -73.070952°",-73.070952,42.232526,3.543021401616598,-0.29497122704293427
Willmar Wind,Commercial Scale Wind,Willmar Municipal Utilities,Willmar Municipal Utilities,Willmar Municipal Utilities,Willmar MN,4,2,2009,DeWind,In Service,"45.158659°, -95.007498°",-95.007498,45.158659,3.782723867488097,-3.0595491150599194
Willow Creek Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,,Morrow County OR,70,35,2009,GE Energy,In Service,"45.828458°, -119.795537°",-119.795537,45.828458,1.7974426326165762,0.6034334626791575
Wilmont Hills Wind Farm,Commercial Scale Wind,Northern Alternative Energy,Northern Alternative Energy,Alliant Energy,Nobles County MN,1.5,1,2001,NEG Micon,In Service,"43.761108°, -95.8276°",-95.8276,43.761108,2.361906034271267,-2.3681699897350326
Wilton Wind Energy Center I (2005),Commercial Scale Wind,NextEra Energy Resources,Florida Power & Light Co.,Basin Electric,Wilton ND,49.5,33,2006,GE Energy,In Service,"47.128392°, -100.739837°",-100.739837,47.128392,1.6341664684878472,1.7429871405366477
Wilton Wind Energy Center I (2006),Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,Burleigh County ND,49.5,33,2006,GE Energy,In Service,"47.142638°, -100.730567°",-100.730567,47.142638,1.6341664684878472,1.7429871405366477
Wilton Wind Energy Center II I,Commercial Scale Wind,NextEra Energy Resources,Florida Power & Light Co.,Basin Electric,Wilton ND,49.5,33,2009,GE Energy,In Service,"47.128392°, -100.739837°",-100.739837,47.128392,1.6341664684878472,1.7429871405366477
Wilton Wind Energy Center II II,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,Burleigh County ND,49.5,33,2009,GE Energy,In Service,"47.142638°, -100.730567°",-100.730567,47.142638,1.6341664684878472,1.7429871405366477
Wind Power Partners '90-'92 Wind Farm,Commercial Scale Wind,NextEra Energy Resources,Kenetech,Pacific Gas & Electric Co,Altamont Pass CA,96.7,967,1992,Kenetech,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Wind Power Partners '94 Wind Farm,Commercial Scale Wind,NextEra Energy Resources,Kenetech Wind Power,Lower Colorado River Authority,Culberson County TX,39.78,109,1994,Kenetech,In Service,"31.3508°, -104.443°",-104.443,31.3508,2.6961454712365027,-2.2246827909939944
Wind Turbine Co. test,Commercial Scale Wind,,Wind Turbine Co.,Southern California Edison Co,Los Angeles County CA,0.5,1,2001,Wind Turbine Co.,In Service,"33.8003°, -118.309°",-118.309,33.8003,1.613195564296271,0.7503248658455823
Wind Vision Wind Farm,Commercial Scale Wind,Wind Vision,Wind Vision,,St. Ansgar IA,0.9,1,2008,AWE,In Service,"43.348224°, -92.888816°",-92.888816,43.348224,3.84376124688961,-2.8486407208859474
Wind Walkers,Commercial Scale Wind,5045 Wind Partners,5045 Wind Partners,Alliant Energy,Waukon IA,1.6,1,2011,GE Energy,In Service,"43.2655101°, -91.4863848°",-91.4863848,43.2655101,2.7518176032567054,-2.5344391481840467
Windland (Boxcar II) Wind Farm,Commercial Scale Wind,Windland- Inc.,Windland- Inc.,Southern California Edison Co,Tehachapi CA,14.3,111,,Various,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Windridge Wind Farm,Commercial Scale Wind,,Windridge,Southern California Edison Co,Tehachapi CA,2.34,36,,Windmatic,In Service,"35.07665°, -118.25529°",-118.25529,35.07665,3.017051534472405,-0.7291196247513739
Windstar,Commercial Scale Wind,Western Wind Energy Corp,Western Wind Energy Corp,Southern California Edison Co,Mojave CA,120,60,2012,Gamesa,In Service,"34.99931226°, -118.2912111°",-118.2912111,34.99931226,3.6580050084469296,-0.6418608712992196
Windway Technologies Wind Farm,Commercial Scale Wind,Northwood-Kensett School,Windway Technologies,Alliant/IES Utilities,Joice IA,0.25,1,1998,Nordex,In Service,"43.3629°, -93.4559°",-93.4559,43.3629,4.352390314853148,-3.019517518229977
Windy Dog I,Commercial Scale Wind,Windy Dog I LLC,,Xcel Energy,Lake Benton MN,1.25,1.25,2006,Suzlon Energy Company,In Service,"44.285°, -96.4342°",-96.4342,44.285,2.288864344819295,-1.7553391183537375
Windy Flats,Commercial Scale Wind,Cannon Power Group,Cannon Power Group,,North shore of Columbia River,172.5,74,2009,Siemens,In Service,"45.699622°, -120.774622°",-120.774622,45.699622,1.2061508968932353,-0.8675657128000238
Windy Flats IIa extension,Commercial Scale Wind,Cannon Power Group,Cannon Power Group,,North shore of Columbia River,59.8,26,2009,Siemens,In Service,"45.699622°, -120.774622°",-120.774622,45.699622,1.2061508968932353,-0.8675657128000238
Windy Flats Phase III,Commercial Scale Wind,Cannon Power Group,Cannon Power Group,,Goldendale WA,100,0,,TBD,Proposed,"45.76201437°, -120.5455971°",-120.5455971,45.76201437,2.0503901734630507,-0.5094670547498517
Windy Flats(3Q09 portion),Commercial Scale Wind,Cannon Power Group,Cannon Power Group,,North shore of Columbia River,29.9,13,2009,Siemens,In Service,"45.699622°, -120.774622°",-120.774622,45.699622,1.2061508968932353,-0.8675657128000238
Windy Point (08) Wind Farm,Commercial Scale Wind,Cannon,Cannon,Puget Sound Energy,,8,4,2008,REPower,In Service,"45.822958°, -120.819003°",-120.819003,45.822958,1.5245327049444695,-1.4326098336984918
Windy Point - REpower (09) Wind Farm,Commercial Scale Wind,Cannon/Tuolumne Wind Project Authority,Cannon/Tuolumne Wind Project Authority,Turlock Irrigation District and Walnut Energy Center Authority,North shore of Columbia River,40,20,2009,REpower,In Service,"45.699622°, -120.774622°",-120.774622,45.699622,1.2061508968932353,-0.8675657128000238
Windy Point - Siemens Wind Farm,Commercial Scale Wind,Cannon/Tuolumne Wind Project Authority,Cannon/Tuolumne Wind Project Authority,Turlock Irrigation District and Walnut Energy Center Authority,North shore of Columbia River,96.6,42,2009,Siemens,In Service,"45.699622°, -120.774622°",-120.774622,45.699622,1.2061508968932353,-0.8675657128000238
Wing River Wind Farm,Commercial Scale Wind,Wing River Wind Farm,Wing River Wind Farm,,Hewitt MN,2.5,1,2007,Nordex,In Service,"46.3254°, -95.0864°",-95.0864,46.3254,1.3647344369680519,-2.6451699321874043
Winnebago I Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Dairyland Power,Winnebago County IA,20,10,2008,Gamesa,In Service,"43.317944°, -93.761537°",-93.761537,43.317944,5.42672100193293,-3.0918183000249186
Winona County Wind,Commercial Scale Wind,Juhl Wind,Juhl Wind,NSP/Xcel Energy,3 miles northwest of Altura MN,1.5,2,2011,Unison,In Service,"44.101281°, -91.975715°",-91.975715,44.101281,2.277059523576352,-2.6524102984211795
Wiota Wind,Community Wind,Wiota Wind Energy LLC,,Farmers Electric Cooperative,,1.6,1,2012,GE Energy,In Service,"41.39149137°, -94.87689972°",-94.87689972,41.39149137,0.5162363933589705,2.369892250145779
Wolf Ridge Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,Cooke County TX,112.5,75,2008,GE Energy,In Service,"33.72911°, -97.393545°",-97.393545,33.72911,3.3490595114857373,2.988716310655035
Wolf Wind Farm,Commercial Scale Wind,Ryan Wolf et al/John Deere Wind Energy,Ryan Wolf et al/John Deere Wind Energy,Central Minnesota Municipal Power Agency,Nobles County MN,6.25,5,2006,Suzlon Energy Company,In Service,"43.583385°, -95.774567°",-95.774567,43.583385,2.6330401349194372,-2.526199668391129
Wolverine,Community Wind,Wolverine LLC,,Farmers' Cooperative of Greenfield,Greenfield IA,1.5,1,2010,GE Energy,In Service,"41.39310112°, -94.44487095°",-94.44487095,41.39310112,0.4188078291375944,0.9894161268484881
Wolverine Creek Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,PacifiCorp,East of ID Falls ID,64.5,43,2005,GE Energy,In Service,"43.422203°, -111.83439°",-111.83439,43.422203,1.1810587945938942,3.099245102058806
Woods Hole Research Center Wind Turbine,Definition:Small Scale Wind,Woods Hole Research Center,Sustainable Energy Developments,Woods Hole Research Center,Falmouth MA,0.1,1,2009,Northern Power Systems,In Service,"41.548637°, -70.64326°",-70.64326,41.548637,4.645212455901433,0.047378312248779524
Woodstock Hills Wind Farm,Commercial Scale Wind,Juhl Wind and Edison Mission Group (owns majority),Woodstock Windfarms,Xcel Energy,Pipestone County MN,10.2,17,1999,Vestas,In Service,"43.9948°, -96.3175°",-96.3175,43.9948,2.2243425635180576,-2.1089028032895127
Woodstock Municipal Wind,Commercial Scale Wind,,Juhl Wind,Xcel Energy,Woodstock MN,0.75,1,2009,EWT Americas,In Service,"44.009957°, -96.100552°",-96.100552,44.009957,2.0616983620176534,-2.0279364417754797
Woodward Mountain I & II Wind Farm,Commercial Scale Wind,NextEra Energy Resources,Cielo Wind Power/Renewable Energy Systems,TXU Electric & Gas,Pecos County TX,159.72,242,2001,Vestas,In Service,"30.970703°, -102.396491°",-102.396491,30.970703,0.8765842572944226,2.044647684233507
Wray School District Wind Farm,Community Wind,Wray School District,Wray School District,Wray School District,Wray CO,0.9,1,2008,AWE,In Service,"40.079014°, -102.227542°",-102.227542,40.079014,3.5209089364927784,-1.9428640810372728
Wyoming Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,Orion Energy,PPM Energy Inc,Evanston WY,144,80,2003,Vestas,In Service,"41.304414°, -110.793904°",-110.793904,41.304414,6.298198306478619,-2.8715807154369193
Yankton School District Wind Project,Community Wind,,,,SD,0,1,,SkyStream,,"42.896858°, -97.41584°",-97.41584,42.896858,2.167786852258849,-2.2549030063979294
Yarbrough Public School System,Community Wind,Yarbrough Public School,,N/A,Goodwell OK,0.5,1,2008,Entegrity Wind,In Service,"36.87268°, -101.902701°",-101.902701,36.87268,6.7176258958157335,-1.676686199096213
Zachary Ridge/LJ Wind Farm,Commercial Scale Wind,Northern Alternative Energy,Northern Alternative Energy,Alliant/IES Utilities,Osceola County near Sibley IA,3.6,2,2003,Gamesa,In Service,"43.4037°, -95.7417°",-95.7417,43.4037,3.1249320648133287,-2.5890991151456735
Zirbel Wind Farm,Commercial Scale Wind,Wisconsin Public Service Co.,Wisconsin Public Service Co.,Wisconsin Public Service Co.,De Pere WI,1.2,2,1998,Tacke,In Service,"44.355809°, -87.983801°",-87.983801,44.355809,2.3231227888600197,-1.9920801028499184
Zond Windsystem Partners Series 85C Wind Farm,Commercial Scale Wind,,Zond Systems,Pacific Gas & Electric Co,Altamont Pass CA,18,200,1985,Vestas,In Service,"37.7347°, -121.652°",-121.652,37.7347,3.9038698760531547,0.6983459973453058
Zond-PanAero Windsystems Wind Farm,Commercial Scale Wind,,Zond Systems,Southern California Edison Co,San Gorgonio CA,29.9,460,,Vestas,In Service,"33.9095°, -116.734°",-116.734,33.9095,2.8259688047771476,-0.10635869987052236
